pandas.index,filename,doi,title,level,section,nchar,status,parser,country_conf,country_predicted,geo.admin1,geo.country_code3,geo.feature_class,geo.feature_code,geo.geonameid,geo.lat,geo.lon,geo.place_name,spans,word
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,title,title,58,False,mordecai
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,abstract,abstract,1106,False,mordecai
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Introduction,3064,True,mordecai,0.2353872,FLK,,,,,,,,,"[{'end': 1624, 'start': 1614}]",Wadden Sea
1,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Introduction,3064,True,mordecai,0.95639527,USA,California,USA,L,RGNE,10630414,37.77239,-122.42349,San Francisco Bay Area,"[{'end': 2079, 'start': 2062}]",San Francisco Bay
2,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Introduction,3064,True,mordecai,0.9516948,AUS,NA,AUS,A,PCLI,2077456,-25,135,Commonwealth of Australia,"[{'end': 2096, 'start': 2087}]",Australia
3,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Introduction,3064,True,mordecai,0.95639527,USA,California,USA,H,BAY,5354727,37.75049,-122.75165,Gulf of the Farallones,"[{'end': 2130, 'start': 2108}]",Gulf of the Farallones
4,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Introduction,3064,True,mordecai,0.2353872,FLK,,,,,,,,,"[{'end': 2150, 'start': 2140}]",Wadden Sea
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,mordecai,0.95639527,USA,California,USA,L,RGNE,10630414,37.77239,-122.42349,San Francisco Bay Area,"[{'end': 709, 'start': 692}]",San Francisco Bay
1,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,mordecai,0.40238044,AUS,,,,,,,,,"[{'end': 740, 'start': 736}]",Gulf
2,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,mordecai,0.9516948,AUS,NA,AUS,A,PCLI,2077456,-25,135,Commonwealth of Australia,"[{'end': 819, 'start': 810}]",Australia
