pandas.index,filename,doi,title,level,section,nchar,status,parser,coordinates,end_char,score,start_char,text,type
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,title,title,58,False,spacy-lg
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,abstract,abstract,1106,False,spacy-lg
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Introduction,3064,True,spacy-lg,"53.57911,6.95262",299,20.948225,296,the Wadden Sea,LOC
1,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Introduction,3064,True,spacy-lg,"-22.92369,-43.1073",378,13.147197,375,San Francisco Bay,LOC
2,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Introduction,3064,True,spacy-lg,"5.85321,-72.54496",383,14.789843,382,Australia,GPE
3,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Introduction,3064,True,spacy-lg,"53.57911,6.95262",397,20.948225,394,the Wadden Sea,LOC
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,spacy-lg,"-22.92369,-43.1073",123,13.147197,120,San Francisco Bay,LOC
1,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,spacy-lg,"5.85321,-72.54496",147,14.789843,146,Australia,GPE
2,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,spacy-lg,"53.57911,6.95262",351,20.948225,348,the Wadden Sea,LOC
3,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,spacy-lg,"53.57911,6.95262",373,20.948225,370,the Wadden Sea,LOC
4,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,spacy-lg,"53.57911,6.95262",534,20.948225,531,the Wadden Sea,LOC
5,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,spacy-lg,"53.57911,6.95262",776,20.948225,773,the Wadden Sea,LOC
6,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Results,4889,True,spacy-lg,"53.57911,6.95262",898,20.948225,895,the Wadden Sea,LOC
0,journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,body,Discussion,5718,True,spacy-lg,"44.09284,12.52924",500,11.116045,499,California,GPE
