xmlfile,doi,title,level,section_name,country_conf,country_predicted,start_char,end_char,latitude,longitude,resolved_placename,word_phrase,section_chars
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,title,title,,,,,,,,,58
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,abstract,abstract,,,,,,,,,1106
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's1'},Introduction,,,,,,,,,3064
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's1'},Introduction,,,,,,,,,3064
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's1'},Introduction,,,,,,,,,3064
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's1'},Introduction,,,,,,,,,3064
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's1'},Introduction,,,,,,,,,3064
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's2'},Results,,,,,,,,,4889
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's2'},Results,,,,,,,,,4889
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's2'},Results,,,,,,,,,4889
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's2'},Results,,,,,,,,,4889
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's2'},Results,,,,,,,,,4889
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's2'},Results,,,,,,,,,4889
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's2'},Results,,,,,,,,,4889
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's2'},Results,,,,,,,,,4889
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's3'},Discussion,,,,,,,,,5718
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's3'},Discussion,,,,,,,,,5718
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's3'},Discussion,,,,,,,,,5718
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's3'},Discussion,,,,,,,,,5718
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's4'},Methods,,,,,,,,,6119
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's4'},Methods,,,,,,,,,6119
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's4'},Methods,,,,,,,,,6119
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's4'},Methods,,,,,,,,,6119
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's4'},Methods,,,,,,,,,6119
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's4'},Methods,,,,,,,,,6119
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's4'},Methods,,,,,,,,,6119
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's4'},Methods,,,,,,,,,6119
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's4'},Methods,,,,,,,,,6119
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's4'},Methods,,,,,,,,,6119
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's5'},Supporting Information,,,,,,,,,1430
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's5'},Supporting Information,,,,,,,,,1430
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's5'},Supporting Information,,,,,,,,,1430
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's5'},Supporting Information,,,,,,,,,1430
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's5'},Supporting Information,,,,,,,,,1430
journal.pone.0000295.xml,10.1371/journal.pone.0000295,Invasions and Extinctions Reshape Coastal Marine Food Webs,{'id': 's5'},Supporting Information,,,,,,,,,1430
journal.pone.0009677.xml,10.1371/journal.pone.0009677,Plant Species and Functional Group Combinations Affect Green Roof Ecosystem Functions,title,title,,,,,,,,,85
journal.pone.0009677.xml,10.1371/journal.pone.0009677,Plant Species and Functional Group Combinations Affect Green Roof Ecosystem Functions,abstract,abstract,,,,,,,,,2089
journal.pone.0009677.xml,10.1371/journal.pone.0009677,Plant Species and Functional Group Combinations Affect Green Roof Ecosystem Functions,{},Background,,,,,,,,,451
